tns_name,previous_name,repeater_name,event_id,sub_num,ra,ra_err,dec,dec_err,ra_dec_notes,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,exp_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,fluence_notes,fluence_win_extended,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,notes_fitb,intrachan_flag,excluded_flag,sidelobe_flag,citizen_science_flag,catalog1_flag,catalog1_param_flag
FRB20180725A,180725.J0613+67,,9386707,0,93.70252443,0.006083172,64.75818222,0.02229943,,149.6627944,20.61257485,201.5243238,91.1324533,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,19.23934937,716.5512085,nan,nan,nan,nan,32.1110969,715.9129416,0.01991936,641.8104316,631.1078187,0.00196608,0,nan,0.477038787,0.32106878,1.633430297,0.936723728,,1,58324.7498,3.53E-09,58324.74959,6.94E-09,0.000692303,2.62E-05,49.75509243,4.740018783,-57.49007469,5.351369869,753.5522461,505.0170898,616.8823242,1830540.877,1831566,0.309936523,,0,1,0,0,1,0
FRB20180727A,180727.J1311+26,,9461009,0,197.7162849,0.127518261,26.42168145,0.260982662,,24.77683349,85.60704328,78.84732114,46.71968793,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,10.39278984,642.1463623,nan,nan,nan,nan,13.40623165,642.0138224,0.028576187,620.6921156,622.26345,0.00393216,0,nan,0.58,0.31,2.31,0.76,Flux/fluence measurements and errors taken from Catalog 1.,1,58326.03626,3.71E-09,58326.03607,9.34E-09,0.001028676,0.000104705,5.091749639,2.033647049,-11.34763576,3.223813824,785.8276367,400.2075195,500.8422852,1863954.273,1864128,0.297668457,,0,1,0,0,1,1
FRB20180729A,180729.J1316+55,,9541535,0,199.4024268,0.120462984,55.57696175,0.084349797,,115.2578636,61.15962927,126.5563107,68.87413537,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,32.00977325,108.3723068,nan,nan,nan,nan,194.622907,109.6077953,0.000456805,78.74157884,86.79200659,0.00196608,0,nan,2.107821449,0.706070674,3.175465644,1.04555605,,1,58328.03357,6.07E-11,58328.03353,1.49E-10,0.000285503,9.82E-07,15.18562366,0.209122613,-27.60998207,0.34590539,703.2592773,400.2075195,526.8676758,1864163.924,1902036,0.28338623,,0,1,0,0,1,0
FRB20180729B,180729.J0558+56,,9564770,0,89.92858136,0.266271666,56.49539861,0.239360397,,156.9050212,15.68107052,153.5084766,77.03251718,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,12.43505287,318.6469116,nan,nan,nan,nan,26.97809337,317.3108858,0.00361804,223.3543461,198.8224067,0.00196608,0,nan,0.92,0.59,1.2,0.74,Flux/fluence measurements and errors taken from Catalog 1.,1,58328.72803,7.12E-10,58328.72794,1.30E-09,0.000141627,1.26E-06,135.125113,15.25667328,-125.3391305,13.86160764,785.6567383,599.1333008,686.0717773,2022652.182,2023374,0.237670898,,0,1,0,0,1,1
FRB20180730A,180730.J0353+87,,9574801,0,268.8405852,0.026281025,85.42698026,0.03265856,,117.8989524,28.14608678,1240.17567,63.90238427,1456.21539,31.05340638,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,69.45716095,849.1859741,nan,nan,nan,nan,88.37696395,848.87832,0.003883875,796.2228285,800.0211271,0.00589824,0.01009892,0.000262876,5.2,2.8,27,12,Flux/fluence measurements and errors taken from Catalog 1.,1,58329.15113,6.40E-10,58329.15088,1.33E-09,0.000412882,2.12E-05,2.078152595,0.29130632,-7.629409186,0.45320189,794.3237305,400.2075195,458.581543,2022049.512,2029853,0.235229492,,0,1,0,0,1,1
FRB20180801A,180801.J2130+72,,9641579,0,322.5950636,0.012369173,69.30032463,0.040035881,,106.731267,13.02946067,252.3918219,109.9894161,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,20.44545746,656.7037964,nan,nan,nan,nan,39.66993916,656.0656679,0.045739375,550.5040484,519.9783465,0.00589824,0.025290427,0.001538365,1.11,0.65,7.9,4.8,Flux/fluence measurements and errors taken from Catalog 1.,1,58331.36625,8.02E-09,58331.36605,1.59E-08,0.000524581,7.13E-05,73.12875869,6.955542105,-89.17716757,7.998936623,708.1420898,513.5375977,603.0395508,1945666.296,1947233,0.266357422,,0,1,0,0,1,1
FRB20180806A,180806.J1515+75,,9976641,0,228.5640197,0.071271308,75.6220601,0.388463365,,112.2754157,38.40099506,276.7988138,152.2183817,249.5685035,129.6801324,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,13.88214493,739.196167,nan,nan,nan,nan,16.7578712,739.9004465,0.029002676,699.1679435,705.8688135,0.00294912,0,nan,0.484753667,0.247349509,1.840084658,0.781803972,,1,58336.59251,5.79E-09,58336.59229,1.04E-08,0.000929461,6.42E-05,4.758249842,2.506575978,-2.074571171,2.583588088,800.1831055,400.2075195,800.1831055,1838581.174,1838856,0.307189941,,0,1,0,0,1,0
FRB20180810A,180810.J0646+34,,10353713,0,101.4736391,0.129474572,34.86439663,0.243388331,,180.6695465,14.06342605,86.88620507,56.19840859,0,0,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,13.06731129,415.6967468,nan,nan,nan,nan,16.72515676,414.8922852,0.00169074,310.3532574,274.8135679,0.00196608,0,nan,1.1,0.86,1.7,1,Flux/fluence measurements and errors taken from Catalog 1.,1,58340.72847,2.90E-10,58340.72835,5.85E-10,0.000173899,3.30E-06,7.813766218,1.904768295,-9.386160276,2.279314349,800.1831055,400.2075195,606.7993164,407240.2691,407514,0.378173828,,0,1,0,0,1,1
FRB20180810B,180810.J1159+83,,10366092,0,189.0450921,0.036289445,77.97946605,0.109969869,,123.955132,39.1184579,312.8382517,186.8888464,281.8700124,191.3454277,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,38.55184555,169.8371887,nan,nan,nan,nan,54.75488434,169.1013139,0.001821518,128.114702,135.3486263,0.00196608,0.000594047,1.18E-05,5.2,1.3,7.9,2.1,Flux/fluence measurements and errors taken from Catalog 1.,1,58340.94495,2.43E-10,58340.9449,5.96E-10,0.00033323,7.30E-06,-1.593525831,0.382929708,-1.875894288,0.685154752,800.1831055,400.2075195,400.2075195,1787911.903,1790903,0.325256348,,0,1,0,0,1,1
FRB20180812A,180812.J0112+80,,10648497,0,19.33008968,0.273942792,80.77970957,0.27589024,,124.0195914,17.96266876,478.4210862,248.9060803,460.4292194,232.2356086,Event occurred during the commissioning period (before 4 September 2018) when system performance and sensitivity were uncharacterized and thus should be excluded from population studies.,12.45756817,795.8085938,nan,nan,nan,nan,20.28444816,802.4001646,0.032006478,719.9693304,703.1927857,0.00589824,0.011790887,0.001568907,0.93,0.58,5.4,2.8,Flux/fluence measurements and errors taken from Catalog 1.,1,58342.49009,3.33E-09,58342.48985,1.02E-08,0.000821431,0.000515203,-4.026174625,3.026156471,-6.537304878,10.22216807,573.9868164,400.2075195,400.2075195,1801838.541,1802243,0.320983887,,0,1,0,0,1,1
